Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
TAPM,"Tapinator, Inc.",4,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/tapm
TEDU,"Tarena International, Inc.",1.94,$105.56M,2014,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/tedu
TH,Target Hospitality Corp.,2.46,$251.92M,2018,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/th
THWWW,Target Hospitality Corp.,0.21,n/a,2018,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/thwww
TATT,TAT Technologies Ltd.,3.9434,$35M,n/a,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/tatt
TAYD,"Taylor Devices, Inc.",10.5,$36.53M,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/tayd
TCF,TCF Financial Corporation,30.15,$4.59B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/tcf
TCFCP,TCF Financial Corporation,24.03,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/tcfcp
CGBD,"TCG BDC, Inc.",9.19,$517.48M,2017,n/a,n/a,https://old.nasdaq.com/symbol/cgbd
TCRR,TCR2 Therapeutics Inc.,14.24,$342.84M,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/tcrr
AMTD,TD Ameritrade Holding Corporation,39.28,$21.25B,1997,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/amtd
GLG,"TD Holdings, Inc.",1.73,$118.65M,2013,Finance,Major Banks,https://old.nasdaq.com/symbol/glg
PETZ,"TDH Holdings, Inc.",1.29,$16.15M,2017,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/petz
TECD,Tech Data Corporation,136.23,$4.86B,1986,Technology,Retail: Computer Software & Peripheral Equipment,https://old.nasdaq.com/symbol/tecd
TCCO,Technical Communications Corporation,3.05,$5.64M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/tcco
TTGT,"TechTarget, Inc.",29.45,$810.72M,2007,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ttgt
TGLS,Tecnoglass Inc.,4.8,$221.36M,2012,Consumer Durables,Electronic Components,https://old.nasdaq.com/symbol/tgls
TGEN,Tecogen Inc.,0.7262,$18.05M,2020,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/tgen
TECTP,"Tectonic Financial, Inc.",8,n/a,2019,Finance,Major Banks,https://old.nasdaq.com/symbol/tectp
